name,homepage,scholar_id,citations,h-index
Troy Bruggemann,https://research.qut.edu.au/qcr/people/troy-bruggemann,WcumWs8AAAAJ,348.0,9.0
Thierry Peynot,https://research.qut.edu.au/qcr/people/thierry-peynot,S47ydIgAAAAJ,1072.0,17.0
Chris Lehnert,https://research.qut.edu.au/qcr/Our%20people/chris-lehnert,PN4ITysAAAAJ,871.0,14.0
Jonathan M. Roberts,https://research.qut.edu.au/qcr/people/jonathan-roberts,1e_R-xoAAAAJ,4070.0,31.0
Matthew Dunbabin,https://research.qut.edu.au/qcr/people/matthew-dunbabin,qbJA1hYAAAAJ,4520.0,30.0
Christina Kazantzidou,https://research.qut.edu.au/qcr/Our%20people/christina-kazantzidou,NOSCHOLARPAGE,,
Jason Ford,https://research.qut.edu.au/qcr/people/jason-ford,McVsAAAAJ,,
Michael J. Milford,https://research.qut.edu.au/qcr/people/michael-milford,TDSmCKgAAAAJ,10140.0,42.0
Niko Sünderhauf,https://research.qut.edu.au/qcr/people/niko-suenderhauf,WnKjfFEAAAAJ,7523.0,39.0
Luis Mejías,https://research.qut.edu.au/qcr/people/luis-mejias-alvarez,MDWCSOQAAAAJ,2809.0,30.0
Peter Corke,https://research.qut.edu.au/qcr/people/peter-corke,wnePPc4AAAAJ,33796.0,80.0
Frederic Maire,https://research.qut.edu.au/qcr/Our%20people/frederic-maire,YUzVddsAAAAJ,1764.0,22.0
Aaron McFadyen,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ,524.0,14.0
Luis Felipe Gonzalez,https://research.qut.edu.au/qcr/people/felipe-gonzalez,c_5ewxYAAAAJ,4473.0,35.0
Tobias Fischer,https://research.qut.edu.au/qcr/people/tobias-fischer,eq46ylAAAAAJ,1561.0,14.0
Will Browne,https://research.qut.edu.au/qcr/people/will-browne,syWBlr8AAAAJ,4754.0,26.0
Jasmin James,https://research.qut.edu.au/qcr/people/jasmin-martin,j4cWEVIAAAAJ,69.0,4.0
Feras Dayoub,https://research.qut.edu.au/qcr/Our%20people/feras-dayoub,Lzs8CuEAAAAJ,3143.0,21.0
Felipe Gonzalez,https://research.qut.edu.au/qcr/Our%20people/felipe-gonzalez,c_5ewxYAAAAJ,4473.0,35.0
