college,avg_rank
Univ. of California - Berkeley,1.0
Stanford University,4.25
Massachusetts Institute of Technology,5.75
Carnegie Mellon University,11.5
Max Planck Society,14.75
Univ. of California - San Diego,16.25
Columbia University,16.75
Univ. of California - Los Angeles,17.0
EPFL,17.5
Univ. of Illinois at Urbana-Champaign,20.0
ETH Zurich,20.25
Cornell University,21.75
University of Washington,24.5
Nanyang Technological University,24.75
University of Pennsylvania,25.25
Princeton University,27.0
University of Maryland - College Park,28.5
University of Edinburgh,34.75
University of Southern California,35.25
HKUST,36.0
University College London,37.0
Univ. of California - Irvine,37.75
University of Minnesota,38.5
University of Texas at Austin,38.75
New York University,38.75
Georgia Institute of Technology,40.0
University of Oxford,42.0
Northeastern University,43.5
Weizmann Institute of Science,45.25
University of Toronto,46.0
Harvard University,48.0
Pennsylvania State University,48.75
TU Munich,50.25
Johns Hopkins University,50.5
Duke University,56.0
Chinese University of Hong Kong,56.25
University of Michigan,56.75
University of Montreal,59.0
TU Berlin,60.75
Imperial College London,65.75
University of Alberta,68.25
Hebrew University of Jerusalem,70.0
Michigan State University,70.5
Technion,70.75
University of Chicago,71.0
Univ. of California - Santa Barbara,71.5
Tsinghua University,71.5
California Institute of Technology,73.5
University of Tennessee,74.0
Stony Brook University,74.0
University of North Carolina,74.5
University of Freiburg,75.0
Western University,76.0
Università della Svizzera italiana,76.25
University of Wisconsin - Madison,76.25
University of Melbourne,78.5
Purdue University,79.5
LMU Munich,80.5
University of Rochester,81.0
University of Cambridge,82.25
University of Kansas,82.5
University of Utah,83.25
Tel Aviv University,85.75
National University of Singapore,85.75
RWTH Aachen,88.75
Rice University,90.0
Yale University,90.75
University of British Columbia,91.75
Univ. of California - Davis,92.25
University of Tübingen,93.25
KAUST,93.75
Queen’s University,93.75
University of Notre Dame,94.0
Ecole Normale Superieure,94.75
Brown University,96.0
KAIST,96.25
Washington University in St. Louis,96.75
The Hong Kong Polytechnic University,96.75
University of Sydney,99.75
Simon Fraser University,100.75
Rutgers University,101.0
Vanderbilt University,101.25
Shanghai Jiao Tong University,103.25
University of Texas at Arlington,103.5
Karlsruhe Institute of Technology,106.0
University of Stuttgart,106.0
Univ. of California - Riverside,106.25
Indiana University,106.5
Graz University of Technology,107.0
University of Waterloo,108.25
University of Waikato,109.25
Ohio State University,109.5
University of Massachusetts Amherst,110.25
Chinese Academy of Sciences,111.75
University of Amsterdam,111.75
CWI,112.25
VU Amsterdam,113.0
University at Buffalo,113.25
Arizona State University,114.5
Victoria University of Wellington,115.0
University of Queensland,115.75
University of Tokyo,118.75
University of Trento,121.0
University of Bremen,125.0
University of Adelaide,125.5
KU Leuven,126.5
Politecnico di Milano,127.25
TTI Chicago,127.5
Georgetown University,128.25
Monash University,128.5
University of Kent,130.0
Boston University,130.25
MBZUAI,130.5
University of Central Florida,131.25
University of Virginia,131.5
Hasso Plattner Institute,132.5
Zhejiang University,132.75
Univ. of California - Santa Cruz,133.25
University of Manitoba,134.0
Peking University,134.0
TU Darmstadt,134.75
NWPU,134.75
USTC,135.5
Northwestern University,136.75
University of Manchester,136.75
Queen Mary University of London,138.0
Saarland University,139.75
Texas A&M University,140.5
University of Illinois at Chicago,141.5
York University,141.75
University of Colorado Boulder,142.5
CUNY,144.25
Univ. of California - Merced,145.0
City University of Hong Kong,146.25
University of Hong Kong,146.75
Bar-Ilan University,147.0
University of Texas at Dallas,148.75
National Taiwan University,149.0
Seoul National University,149.75
Univ. of Maryland - Baltimore County,149.75
University of Southampton,152.5
Czech Technical University,155.25
Temple University,155.5
Rensselaer Polytechnic Institute,156.0
Oregon State University,157.0
JKU Linz,157.75
University of Arizona,158.75
TU Wien,159.25
University of South Florida,160.75
University of Pittsburgh,161.5
University of Leipzig,164.25
UNSW,164.25
University of Vienna,164.5
George Mason University,164.75
University of Helsinki,166.75
University of Surrey,168.5
North Carolina State University,171.75
Ecole Normale Superieure de Cachan,177.5
University of Ottawa,178.75
University of Luxembourg,180.0
Radboud University,180.25
EURECOM,181.0
University of York,181.25
Aalto University,181.5
McGill University,181.75
Sapienza University of Rome,181.75
TU Delft,182.25
Australian National University,182.5
Singapore Management University,184.25
University of Connecticut,186.0
University of Zurich,190.75
University of Warwick,191.25
Carleton University,191.75
Universidade de Lisboa,192.25
University of Konstanz,196.0
Emory University,198.0
University of Mannheim,200.0
Sun Yat-sen University,200.75
KTH Royal Institute of Technology,201.5
University of Calgary,203.25
University of Florida,203.25
University of Nottingham,203.5
NJIT,204.0
Rochester Institute of Technology,204.5
University of Houston,204.5
IST Austria,204.5
University of Athens,206.0
University of Technology Sydney,208.5
Westlake University,209.0
Colorado State University,209.25
Texas A&M at Qatar,210.5
University of Nebraska,210.5
University of Bonn,211.25
Heidelberg University,214.0
Dartmouth College,214.25
University of Glasgow,215.75
TU Dresden,218.75
Lancaster University,218.75
Tampere University,219.5
University of Saskatchewan,219.5
NYU Shanghai,221.5
University of Erlangen–Nuremberg,221.75
Ruhr-University Bochum,222.25
University of Liverpool,224.0
University of Auckland,224.0
Virginia Tech,224.0
Uppsala University,225.25
SUSTech,226.5
University of Crete,227.0
Chalmers/GU,227.25
UFMG,228.0
Washington State University,229.5
University of Innsbruck,229.75
Brunel University London,229.75
UESTC,229.75
University of Copenhagen,230.5
