Name,affiliation,homepage,scholar-id,citations,h-index
P. Vassalos,AUEB,http://pubs.dbs.uni-leipzig.de/aa/aff/Greece/Athens/Athens%20University%20of%20Economics%20and%20Business,gnOgiQEAAAAJ,205.0,9.0
Stavros Toumpis,AUEB,https://195.251.255.130/en/faculty/toumpis-stavros,LyiVPKEAAAAJ,2804.0,21.0
Ion Androutsopoulos,AUEB,http://www.aueb.gr/users/ion,4UJm5EQAAAAJ,11918.0,42.0
Michalis K. Titsias,AUEB,http://www.aueb.gr/users/mtitsias,B-SbkAwAAAAJ,5255.0,30.0
Vasilios A. Siris,AUEB,http://www.aueb.gr/users/vsiris,Vj3O0cEAAAAJ,5967.0,31.0
E. J. Yannakoudakis,AUEB,http://www.aueb.gr/Users/yannakoudakis/english,37tD5JsAAAAJ,738.0,14.0
Eugénie Foustoucos,AUEB,https://uregister-ldap.aueb.gr/en/content/applied-mathematics-informatics-finance-and-operational-research-sector,5mes4FYAAAAJ,38.0,4.0
Vasilis Vassalos,AUEB,https://www.aueb.gr/en/faculty_page/vassalos-vasilios,oaM-d7QAAAAJ,3723.0,25.0
Diomidis D. Spinellis,AUEB,https://www.dmst.aueb.gr/dds,RjXNgA8AAAAJ,11833.0,53.0
Antonis Dimakis,AUEB,http://nes.aueb.gr/dimakis.html,DlAhQuIAAAAJ,491.0,8.0
Evangelos Markakis,AUEB,http://pages.cs.aueb.gr/~markakis,VDyjbagAAAAJ,4179.0,33.0
Panos Constantopoulos,AUEB,https://uregister-ldap.aueb.gr/en/faculty/constantopoulos-panos,EAagfCoAAAAJ,2134.0,28.0
Georgios Papaioannou,AUEB,http://www.aueb.gr/users/gepap,8YSbfqcAAAAJ,3092.0,30.0
Nicos Malevris,AUEB,http://www.cs.aueb.gr/en/content/malevris-nikolaos,PJ748-EAAAAJ,1437.0,21.0
Yannis Kotidis,AUEB,http://www.db-net.aueb.gr/kotidis,ykqoK38AAAAJ,6208.0,34.0
Ioannis Milis,AUEB,https://uregister-ldap.aueb.gr/en/faculty/milis-ioannis,CS8EIi0AAAAJ,816.0,13.0
Emmanouel A. Giakoumakis,AUEB,https://www-1.aueb.gr/en/content/new-rector-athens-university-economics-and-business,X3EmbHYAAAAJ,556.0,11.0
Theodore K. Apostolopoulos,AUEB,http://ieeexplore.ieee.org/document/4114886,WTg8mXoAAAAJ,1091.0,16.0
Michalis Vazirgiannis,AUEB,http://www.db-net.aueb.gr/michalis,aWGJYcMAAAAJ,18477.0,54.0
T. Z. Kalamboukis,AUEB,https://uregister-ldap.aueb.gr/en/faculty/kalamboukis-theodore,,,
