Name,affiliation,homepage,scholar-id,citations,h-index
Kasper Støy,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/kasper-stoey(2a9c0934-98ca-4101-b829-b88d77f6487e).html,s4I2aDgAAAAJ,3541.0,30.0
Oliver Krancher,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/oliver-krancher(f14f4742-c9d8-4a34-b8e2-d713c3a1f437).html,4EqBYO0AAAAJ,229.0,10.0
Laurens Boer,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/laurens-boer(25a5a0d6-404b-419c-9502-b246525617a2).html,XssDfsgAAAAJ,479.0,11.0
Hans-Joachim Backe,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/hansjoachim-backe(44c88dce-966d-46f3-88a8-2014e39197b9).html,,,
Lars Rune Christensen,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/lars-rune-christensen(92f6c3f3-0ad2-40fc-b278-69170f87567d).html,JZ1V3H0AAAAJ,525.0,13.0
Nico Wunderlich,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/nico-wunderlich(80356733-d435-4c10-b4b9-2878dcf57f1b).html,P5QGP40AAAAJ,111.0,6.0
Søren Debois,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/soeren-debois(d3b41838-e2bf-4735-b1cd-03f60b49c7e5).html,okin7NMAAAAJ,1564.0,19.0
Troels Bjerre Lund,IT University of Copenhagen,http://www.itu.dk/people/trbj,2tOriSoAAAAJ,621.0,14.0
Philippe Bonnet,IT University of Copenhagen,http://www.itu.dk/people/phbo,S9zyMRgAAAAJ,4892.0,26.0
Rasmus Ejlers Møgelberg,IT University of Copenhagen,http://www.itu.dk/people/mogel,MBiWoI8AAAAJ,981.0,16.0
Jesper Bengtson,IT University of Copenhagen,http://www.itu.dk/people/jebe,,,
Peter Sestoft,IT University of Copenhagen,http://www.itu.dk/people/sestoft,qz1BCu8AAAAJ,5231.0,25.0
Helena Karasti,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/helena-karasti(fdbd5c94-bf35-463a-ab70-1224809bbbf4).html,oEzi1K0AAAAJ,2633.0,23.0
Katrine Meldgaard Kjær,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/katrine-meldgaard-kjaer(0c46864b-a7f8-4439-aeda-0781f77bfe88).html,,,
Helge Pfeiffer,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/helge-pfeiffer(51cfa226-5179-4a05-aa13-4a53f8de6404).html,3_WyeYcAAAAJ,885.0,15.0
Claus Brabrand,IT University of Copenhagen,http://itu.dk/people/brabrand,oxk_o-UAAAAJ,1950.0,24.0
Oksana Kulyk,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/oksana-kulyk(1dbd1112-eb47-4406-936c-6807e8845610).html,08IyY1AAAAAJ,359.0,11.0
Stefan Heinrich,IT University of Copenhagen,https://stefanheinrich.net,hHx7vgoAAAAJ,517.0,12.0
Henrique Debarba,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/henrique-galvan-debarba(4ac798ea-a458-473f-ba46-2e7515cf72e4).html,ZutRbb0AAAAJ,683.0,16.0
Björn Þór Jónsson,IT University of Copenhagen,http://www.itu.dk/people/bjth,syXaq1IAAAAJ,2271.0,18.0
Roberta Sinatra,IT University of Copenhagen,https://www.robertasinatra.com,PL8nGh4AAAAJ,3463.0,23.0
Alessandro Bruni,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/alessandro-bruni(5c50bbc9-ed3d-417f-ba4d-e484eaf536b3).html,lbZ6n5IAAAAJ,21499.0,62.0
Andrzej Wasowski,IT University of Copenhagen,http://www.itu.dk/people/wasowski,GgpJrwMAAAAJ,7704.0,44.0
Martin Aumüller,IT University of Copenhagen,https://pure.itu.dk/portal/da/persons/martin-aumuller(5f52759c-418a-41b7-bbdb-050492677284).html,TNJYIYoAAAAJ,417.0,10.0
Leon Derczynski,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/leon-derczynski(785a7089-e58e-4aaa-986d-ae0e615ba508).html,d8iwqa8AAAAJ,5039.0,28.0
Luca Rossi,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/luca-rossi(1b45e3f5-b8cd-4c0d-a444-2901304f76ee).html,Vv1gFf0AAAAJ,1893.0,24.0
