Name,affiliation,homepage,scholar-id,citations,h-index
Eugene Agichtein,Emory University,https://cs.emory.edu/~eugene,3BX3vWcAAAAJ,13878.0,48.0
Dorian C. Arnold,Emory University,https://cs.emory.edu/~darnold,2jEFz5EAAAAJ,2201.0,23.0
Davide Fossati,Emory University,http://www.cs.emory.edu/people/faculty/individual.php?NUM=427,EQ61oMAAAAAJ,653.0,16.0
Li Xiong,Emory University,https://cs.emory.edu/~lxiong,jJ8BLgsAAAAJ,10901.0,46.0
Joyce C. Ho,Emory University,https://joyceho.github.io,DrUBb5sAAAAJ,1437.0,16.0
Ymir Vigfusson,Emory University,https://ymsir.com,y2YkcWkAAAAJ,1036.0,18.0
James G. Nagy,Emory University,https://math.emory.edu/~nagy,fMdqZFsAAAAJ,5214.0,33.0
Carl Yang,Emory University,http://www.cs.emory.edu/~jyang71,mOINlwcAAAAJ,1287.0,18.0
Jinho D. Choi,Emory University,https://cs.emory.edu/~choi/home.html,xdddblAAAAAJ,2384.0,28.0
Zhaohui S. Qin,Emory University,https://www.sph.emory.edu/faculty/profile/index.php?FID=8697,9F-Jk74AAAAJ,25694.0,49.0
Vaidy S. Sunderam,Emory University,https://cs.emory.edu/~vss,6k7bp8IAAAAJ,14872.0,43.0
Ashish Sharma,Emory University,http://sharmalab.info,P3_s4W4AAAAJ,39804.0,94.0
Gari D. Clifford,Emory University,http://gdclifford.info/people/gari,VwYoZ6gAAAAJ,20095.0,69.0
Shun Yan Cheung,Emory University,https://cs.emory.edu/people/faculty/individual.php?NUM=16,,,
Liang Zhao,Emory University,https://cs.emory.edu/~lzhao41,qnvyqtwAAAAJ,2476.0,25.0
Michelangelo Grigni,Emory University,https://cs.emory.edu/~mic,61uuS7YAAAAJ,1971.0,23.0
Emily Wall,Emory University,https://emilywall.github.io,YfcphqMAAAAJ,424.0,9.0
Alessandro Veneziani,Emory University,https://www.math.emory.edu/~ale,xjvr4yEAAAAJ,8035.0,47.0
Lars Ruthotto,Emory University,https://www.math.emory.edu/~lruthot,EaBF6r0AAAAJ,2416.0,20.0
Avani Wildani,Emory University,https://cs.emory.edu/~avani/index.html,08UkfMsAAAAJ,845.0,12.0
Diana F. Adamatti,Federal University of Rio Grande,http://www.diana.c3.furg.br,anyT2ZkAAAAJ,719.0,14.0
Paulo Drews Jr.,Federal University of Rio Grande,http://www.paulo.c3.furg.br,IeIst7QAAAAJ,1954.0,21.0
Nelson Duarte Filho,Federal University of Rio Grande,http://www.nelson.c3.furg.br,ZUeriEwAAAAJ,277.0,8.0
Vagner S. Rosa,Federal University of Rio Grande,http://www.vagner.c3.furg.br,OCHlv2EAAAAJ,368.0,10.0
Danúbia Bueno Espíndola,Federal University of Rio Grande,http://www.danubia.c3.furg.br,,,
Vinicius Menezes de Oliveira,Federal University of Rio Grande,http://vinicius.c3.furg.br,-XsG1EQAAAAJ,192.0,8.0
Silvia Botelho,Federal University of Rio Grande,http://www.silviacb.c3.furg.br,XKt2OlEAAAAJ,3612.0,22.0
Karina S. Machado,Federal University of Rio Grande,http://karina.c3.furg.br,3j-IYXoAAAAJ,480.0,13.0
Adriano Velasque Werhli,Federal University of Rio Grande,http://www.werhli.c3.furg.br,,,
Ricardo N. Rodrigues,Federal University of Rio Grande,http://ricardo.c3.furg.br,4pX-2jUAAAAJ,665.0,10.0
Leonardo Emmendorfer,Federal University of Rio Grande,http://www.leonardo.c3.furg.br,EHpCyU0AAAAJ,230.0,9.0
Emanuel da Silva Diaz Estrada,Federal University of Rio Grande,http://emanuel.c3.furg.br,nKZNnuYAAAAJ,344.0,9.0
Paulo F. Butzen,Federal University of Rio Grande,http://www.butzen.c3.furg.br,2VeTdosAAAAJ,437.0,11.0
Marcelo Pias,Federal University of Rio Grande,https://sites.google.com/site/piasmarcelo,X_zoltAAAAAJ,4086.0,14.0
Eduardo N. Borges,Federal University of Rio Grande,http://www.eduardo.c3.furg.br,DF7aOYMAAAAJ,336.0,10.0
