Name,affiliation,homepage,scholar-id,citations,h-index
Bonnie MacKay,Dalhousie University,https://web.cs.dal.ca/~bmackay,fqtL2yMAAAAJ,472.0,12.0
Robert Beiko,Dalhousie University,https://www.dal.ca/faculty/computerscience/faculty-staff/robert-beiko.html,OmUy3vUAAAAJ,17083.0,45.0
Sampalli Srinivas,Dalhousie University,https://web.cs.dal.ca/~srini,UCVetfAAAAAJ,2282.0,23.0
Raghav Sampangi,Dalhousie University,https://www.dal.ca/academics/programs/graduate/computer-science/graduate-life/current-students/raghav-sampangi.html,x_Cy69EAAAAJ,169.0,6.0
Sergey Bratus,Dartmouth College,http://www.cs.dartmouth.edu/~sergey,mufO1rkAAAAJ,1854.0,25.0
Robert L. (Scot) Drysdale III,Dartmouth College,http://www.cs.dartmouth.edu/~scot,mn1QyYgAAAAJ,3358.0,27.0
Sean W. Smith,Dartmouth College,http://www.cs.dartmouth.edu/~sws,hjaMuwsAAAAJ,352.0,10.0
Soroush Vosoughi,Dartmouth College,https://web.cs.dartmouth.edu/people/soroush-vosoughi,45DAXkwAAAAJ,6448.0,20.0
Dan Rockmore,Dartmouth College,http://www.cs.dartmouth.edu/~rockmore,,,
Xia Zhou,Dartmouth College,http://www.cs.dartmouth.edu/~xia,t_DFZvgAAAAJ,4642.0,29.0
Bo Zhu,Dartmouth College,https://web.cs.dartmouth.edu/people/bo-zhu,,,
David F. Kotz,Dartmouth College,http://www.cs.dartmouth.edu/~dfk,s5QkqdcAAAAJ,22974.0,76.0
Alberto Quattrini Li,Dartmouth College,https://web.cs.dartmouth.edu/people/alberto-quattrini-li,06ldpDMAAAAJ,966.0,18.0
Wojciech Jarosz,Dartmouth College,https://www.cs.dartmouth.edu/~wjarosz,vrjL9p0AAAAJ,3851.0,39.0
Andrew T. Campbell,Dartmouth College,http://www.cs.dartmouth.edu/~campbell,rthco5oAAAAJ,38382.0,87.0
Prasad Jayanti,Dartmouth College,http://www.cs.dartmouth.edu/~prasad,hdn0Ln0AAAAJ,59375.0,72.0
Chris Bailey-Kellogg,Dartmouth College,http://www.cs.dartmouth.edu/~cbk,-cwEbxUAAAAJ,4347.0,35.0
Michael A. Casey,Dartmouth College,http://dartmouth.edu/faculty-directory/michael-casey,2dTrwzAAAAAJ,4851.0,32.0
Peter M. Winkler,Dartmouth College,https://math.dartmouth.edu/~pw,,,
Gevorg Grigoryan,Dartmouth College,http://dartmouth.edu/faculty-directory/gevorg-grigoryan,hJuusUEAAAAJ,2743.0,26.0
Robert L. Drysdale III,Dartmouth College,http://dartmouth.edu/faculty-directory/robert-lewis-scot-drysdale-iii,mn1QyYgAAAAJ,3358.0,27.0
Elizabeth L. Murnane,Dartmouth College,https://engineering.dartmouth.edu/community/faculty/elizabeth-murnane,dfy3siAAAAAJ,1373.0,22.0
Lorie Loeb,Dartmouth College,http://web.cs.dartmouth.edu/people/lorie-loeb,_kl2qQQAAAAJ,400.0,6.0
Xing-Dong Yang,Dartmouth College,https://www.cs.dartmouth.edu/~xingdong,9WfDSNwAAAAJ,2105.0,27.0
