Name,affiliation,homepage,scholar-id,citations,h-index
Liangcai Gao,Peking University,http://www.icst.pku.edu.cn/cpdp/index.php/research-team/12-gaoliangcai,6Ia92WsAAAAJ,1387.0,22.0
Bingfeng Zhou,Peking University,http://www.icst.pku.edu.cn/index.php?s=/Home/Article/detail/id/556.html,JZEz0LMAAAAJ,717.0,9.0
YongHong Tian,Peking University,http://idm.pku.edu.cn/staff/yhtian.html,fn6hJx0AAAAJ,7450.0,42.0
Weiping Huang,Peking University,http://www.icst.pku.edu.cn/index.php?s=/Home/Team/lists/szm/H.html,,,
Lei Zou,Peking University,http://www.icst.pku.edu.cn/intro/leizou/index.html,jZgjlGUAAAAJ,4149.0,32.0
Zhi Tang,Peking University,http://www.icst.pku.edu.cn/intro/tz/tangzhi.html,,,
Tong Zhao,Peking University,http://net.pku.edu.cn/~zt,,,
Yuxin Peng,Peking University,http://www.icst.pku.edu.cn/mipl/yuxinpeng,mFsXPNYAAAAJ,5734.0,36.0
Zongming Guo,Peking University,http://www.icst.pku.edu.cn/vip/people-guozm.html,,,
Jun Sun,Peking University,http://www.icst.pku.edu.cn/vip/people-sunjE.html,,,
Xinggong Zhang,Peking University,http://www.icst.pku.edu.cn/vip/people-zhangxg_en.html,,,
Zhihong Liu,Peking University,http://www.icst.pku.edu.cn/index.php?s=/Home/Team/lists/szm/L.html,,,
Huarui Zhang,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6025,,,
Shiliang Zhang,Peking University,http://idm.pku.edu.cn/staff/zhangshiliang/index.html,7phvKK4AAAAJ,6866.0,34.0
Jiaying Liu,Peking University,http://www.icst.pku.edu.cn/struct/people/liujiaying.html,,,
Fuqing Yang,Peking University,http://www.sei.pku.edu.cn/people/yang,,,
Yingmin Tang,Peking University,http://www.icst.pku.edu.cn/cscl?page_id=22,,,
Weizhong Shao,Peking University,http://www.sei.pku.edu.cn/people/shaowz,,,
Tong Yang,Peking University,http://net.pku.edu.cn/~yangtong,zYDaX-4AAAAJ,1346.0,17.0
Dong Tong,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6017,,,
Tengjiao Wang,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6003,,,
Wei Chen,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6006,,,
Hongfei Yan,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6010,,,
Lijun Chen,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6011,,,
Huashan Yu,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6012,,,
Xu Cheng,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6014,,,
Xuetao Guan,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6015,,,
Jiangfan Yi,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6016,,,
Zhengmao Xie,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=5995,,,
Yafei Dai,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=5999,VSvWlvkAAAAJ,3574.0,27.0
Wen Gao,Peking University,http://www.jdl.ac.cn/htm-gaowen,b0vWahYAAAAJ,52020.0,104.0
Ding Li,Peking University,https://marapapman.github.io,pOt1374AAAAJ,2255.0,20.0
Zhi Yang,Peking University,http://net.pku.edu.cn/~yangzhi,eGB6_zEAAAAJ,1634.0,19.0
Wei Hu,Peking University,http://www.icst.pku.edu.cn/F/intro/huwei/index.html,5oFf8Q4AAAAJ,1704.0,22.0
Tianren Liu,Peking University,https://liutianren.com,K5FZmOkAAAAJ,363.0,9.0
Junfeng Zhao,Peking University,http://www.sei.pku.edu.cn/people/zhaojf,,,
Zhi Jin,Peking University,http://www.sei.pku.edu.cn/people/zhijin,ZC7SObAAAAAJ,7188.0,37.0
Xiaodong Xie,Peking University,http://www.jdl.ac.cn/user/xdxie/index.html,,,
Wei Ye,Peking University,https://se.pku.edu.cn/kcl/weiye,RgLGFMIAAAAJ,335.0,10.0
Xiaoming Li,Peking University,http://net.pku.edu.cn/~lxm,tL9zHywAAAAJ,25095.0,71.0
Heng Wang,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6079,,,
Xuanzhe Liu,Peking University,http://sei.pku.edu.cn/~liuxzh,eOhSVi8AAAAJ,4332.0,34.0
Xin Jin,Peking University,https://xinjin.github.io,NhsdGBUAAAAJ,3237.0,24.0
Lifu Wang,Peking University,http://www.sei.pku.edu.cn/people/wlf,,,
Tao Xie,Peking University,https://taoxiease.github.io,DhhH9J4AAAAJ,17856.0,73.0
Ming Zhang,Peking University,http://net.pku.edu.cn/dlib/mzhang,LbzoQBsAAAAJ,13099.0,41.0
Zhen Xiao,Peking University,http://net.pku.edu.cn/vc,9sq1eeUAAAAJ,6538.0,37.0
Kaigui Bian,Peking University,http://net.pku.edu.cn/~bkg,P8WKqa4AAAAJ,5398.0,34.0
Bin Cui,Peking University,http://net.pku.edu.cn/~cuibin,IJAU8KoAAAAJ,6820.0,47.0
Guojie Luo,Peking University,http://ceca.pku.edu.cn/guojie,8-mT29YAAAAJ,1681.0,21.0
Jun Gao,Peking University,http://net.pku.edu.cn/~gaojun,,,
